,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
1853,"han, chang, lin, sun, and ho tao-yu (earth-616)",secret identity,bad characters,brown eyes,black hair,male characters,living characters,25.0,aug-80,1980.0
1854,red queen (earth-616),None,bad characters,None,red hair,female characters,living characters,16.0,apr-84,1984.0
1855,beak (robber) (earth-616),None,bad characters,None,black hair,male characters,living characters,1.0,jun-45,1945.0
1856,mister kenneth (earth-616),no dual identity,neutral characters,None,None,male characters,deceased characters,2.0,nov-01,2001.0
1857,gallon (asgardian) (earth-616),None,good characters,None,None,male characters,living characters,1.0,jun-89,1989.0
1858,ja kyee lrurt (earth-616),no dual identity,good characters,green eyes,black hair,female characters,living characters,4.0,None,None
1859,nebulo (earth-616),public identity,bad characters,None,no hair,male characters,living characters,12.0,oct-68,1968.0
1860,angerboda (earth-616),None,None,None,blond hair,female characters,deceased characters,2.0,oct-85,1985.0
1861,rochester (earth-616),None,bad characters,None,None,male characters,living characters,2.0,nov-89,1989.0
1862,armena ortega (earth-616),no dual identity,good characters,brown eyes,brown hair,female characters,living characters,11.0,aug-04,2004.0
1863,slagmire (earth-616),public identity,bad characters,None,brown hair,male characters,living characters,1.0,feb-90,1990.0
1864,gordon thomas (earth-616),public identity,good characters,blue eyes,brown hair,male characters,deceased characters,14.0,nov-00,2000.0
1865,maso katoro (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,dec-43,1943.0
1866,les (esu) (earth-616),public identity,neutral characters,None,auburn hair,male characters,living characters,1.0,jul-90,1990.0
1867,axe (mutant) (earth-616),None,bad characters,brown eyes,brown hair,male characters,deceased characters,4.0,sep-83,1983.0
1868,the wizard (android) (earth-616),None,bad characters,None,None,male characters,living characters,1.0,jul-70,1970.0
1869,rust (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,feb-89,1989.0
1870,walter slocum (earth-616),secret identity,bad characters,None,red hair,male characters,living characters,2.0,feb-93,1993.0
1871,maximus jensen (earth-616),secret identity,bad characters,grey eyes,grey hair,male characters,deceased characters,23.0,nov-04,2004.0
1872,diomedes (earth-616),None,None,None,black hair,male characters,living characters,2.0,nov-79,1979.0
1873,josef stalin (earth-616),public identity,bad characters,None,black hair,male characters,living characters,2.0,dec-43,1943.0
1874,lily saunders (earth-616),no dual identity,good characters,None,blond hair,female characters,living characters,1.0,apr-40,1940.0
1875,max young (earth-616),public identity,bad characters,None,None,male characters,deceased characters,4.0,jun-66,1966.0
1876,wolfgang heinrich (earth-616),secret identity,bad characters,None,blond hair,male characters,living characters,1.0,oct-86,1986.0
1877,rawhide kid (earth-616),secret identity,good characters,None,blond hair,male characters,living characters,16.0,mar-55,1955.0
1878,lorna kleinfeldt (earth-616),public identity,good characters,None,grey hair,female characters,living characters,14.0,jun-92,1992.0
1879,carl weatherby (earth-616),public identity,good characters,None,blond hair,male characters,living characters,4.0,oct-85,1985.0
1880,snake dance (earth-616),None,neutral characters,None,black hair,male characters,living characters,17.0,feb-73,1973.0
1881,jarella (earth-616),no dual identity,good characters,green eyes,blond hair,female characters,deceased characters,38.0,jun-71,1971.0
1882,lian shen (earth-616),None,None,black eyes,black hair,female characters,living characters,9.0,nov-89,1989.0
1883,carl mach (earth-616),secret identity,bad characters,None,None,male characters,deceased characters,6.0,feb-93,1993.0
1884,rufus king (earth-616),public identity,neutral characters,None,None,male characters,deceased characters,1.0,dec-45,1945.0
1885,jennifer stavros (earth-616),secret identity,neutral characters,blue eyes,blond hair,female characters,deceased characters,33.0,jun-84,1984.0
1886,dirk garthwaite (earth-616),secret identity,bad characters,blue eyes,brown hair,male characters,living characters,164.0,jan-68,1968.0
1887,cerez (earth-616),None,bad characters,red eyes,None,male characters,living characters,2.0,feb-11,2011.0
1888,hannah conover (earth-616),public identity,good characters,None,blond hair,female characters,living characters,4.0,sep-88,1988.0
1889,gambler (earth-616),secret identity,bad characters,None,black hair,male characters,deceased characters,1.0,jul-48,1948.0
1890,winston redditch (earth-616),public identity,bad characters,None,blond hair,male characters,living characters,3.0,dec-74,1974.0
1891,arkadine arcadius (earth-616),no dual identity,bad characters,yellow eyes,white hair,male characters,living characters,8.0,mar-95,1995.0
1892,mari (rigellian) (earth-616),public identity,good characters,None,None,female characters,living characters,3.0,oct-06,2006.0
1893,maximus (earth-616),secret identity,neutral characters,blue eyes,black hair,male characters,living characters,147.0,feb-66,1966.0
1894,adrian defoe (earth-616),secret identity,good characters,blue eyes,no hair,male characters,living characters,4.0,jan-04,2004.0
1895,david cox (earth-616),public identity,good characters,None,red hair,male characters,living characters,7.0,jul-73,1973.0
1896,jonathan rich (earth-616),public identity,neutral characters,green eyes,black hair,male characters,living characters,5.0,feb-77,1977.0
1897,milo thurman (earth-616),public identity,good characters,None,None,male characters,living characters,4.0,jan-97,1997.0
1898,waku (earth-616),public identity,good characters,None,None,male characters,living characters,8.0,sep-54,1954.0
1899,coral (microverse) (earth-616),None,None,None,None,None,living characters,5.0,jun-81,1981.0
1900,luna depaula (earth-616),public identity,good characters,brown eyes,brown hair,female characters,living characters,8.0,jan-04,2004.0
1901,thanos (earth-616),no dual identity,bad characters,red eyes,no hair,male characters,living characters,306.0,feb-73,1973.0
1902,aries (lmd) (earth-616),secret identity,bad characters,None,None,male characters,living characters,6.0,jul-77,1977.0
1903,agent x (nijo) (earth-616),secret identity,neutral characters,brown eyes,bald,male characters,living characters,35.0,may-02,2002.0
1904,juan elmirez (earth-616),public identity,good characters,None,black hair,male characters,living characters,2.0,apr-76,1976.0
1905,harold hogan (heroes reborn) (earth-616),None,good characters,None,None,male characters,living characters,4.0,nov-96,1996.0
1906,ukko (earth-616),None,None,None,None,male characters,living characters,4.0,oct-80,1980.0
1907,sally roland (earth-616),public identity,bad characters,blue eyes,red hair,female characters,deceased characters,2.0,nov-11,2011.0
1908,madame joy (earth-616),public identity,bad characters,None,white hair,female characters,living characters,3.0,nov-88,1988.0
1909,cameron hodge (earth-616),public identity,bad characters,blue eyes,grey hair,male characters,deceased characters,72.0,feb-86,1986.0
1910,lethbridge-stewart (earth-616),public identity,good characters,None,None,male characters,living characters,1.0,jun-87,1987.0
1911,daniel dash (earth-616),secret identity,bad characters,None,None,male characters,deceased characters,3.0,oct-98,1998.0
1912,firearms (earth-616),secret identity,bad characters,None,None,male characters,deceased characters,4.0,sep-99,1999.0
1913,andrew jackson (earth-616),public identity,good characters,None,blond hair,male characters,deceased characters,16.0,nov-90,1990.0
1914,kiwi (earth-616),None,good characters,None,None,None,living characters,2.0,sep-95,1995.0
1915,beautiful dreamer (morlock) (earth-616),secret identity,neutral characters,grey eyes,black hair,female characters,deceased characters,15.0,jul-85,1985.0
1916,wilghe (earth-616),public identity,good characters,black eyes,grey hair,female characters,living characters,4.0,sep-89,1989.0
1917,mrs. worthington ford iii (earth-616),public identity,None,None,brown hair,female characters,living characters,1.0,jul-79,1979.0
1918,victoria montesi (earth-616),secret identity,good characters,None,black hair,female characters,living characters,33.0,oct-92,1992.0
1919,don remming (earth-616),secret identity,neutral characters,None,None,male characters,living characters,3.0,nov-85,1985.0
1920,lens (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,sep-41,1941.0
1921,antoine delsoin (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,13.0,nov-78,1978.0
1922,linbythoum (earth-616),None,bad characters,None,None,male characters,living characters,3.0,nov-74,1974.0
1923,julius (earth-616),public identity,None,None,None,male characters,living characters,1.0,oct-78,1978.0
1924,gustavo zapata (earth-616),None,bad characters,brown eyes,None,male characters,living characters,9.0,apr-09,2009.0
1925,ludi (earth-616),secret identity,bad characters,white eyes,grey hair,male characters,living characters,4.0,may-73,1973.0
1926,igron (earth-616),public identity,bad characters,None,black hair,male characters,living characters,8.0,jun-70,1970.0
1927,marty (driver) (earth-616),public identity,None,None,black hair,male characters,living characters,4.0,may-69,1969.0
1928,rita (waitress) (earth-616),public identity,neutral characters,None,red hair,female characters,living characters,3.0,dec-04,2004.0
1929,argos (atlantean) (earth-616),None,good characters,None,black hair,male characters,living characters,5.0,sep-07,2007.0
1930,bronchar (earth-616),None,bad characters,None,None,male characters,living characters,2.0,aug-98,1998.0
1931,rutger von bokhoven (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,1.0,aug-88,1988.0
1932,roy fortune (earth-616),None,good characters,None,None,male characters,living characters,6.0,jan-88,1988.0
1933,kamuu (ancient atlantis) (earth-616),no dual identity,good characters,None,brown hair,male characters,deceased characters,8.0,jun-73,1973.0
1934,tex (masked raider) (earth-616),None,bad characters,None,None,male characters,deceased characters,1.0,dec-39,1939.0
1935,mordecai midas (earth-616),secret identity,bad characters,gold eyes,gold hair,male characters,living characters,13.0,sep-69,1969.0
1936,jenni pate (earth-616),secret identity,bad characters,None,pink hair,female characters,deceased characters,3.0,aug-09,2009.0
1937,rockford rico (earth-616),None,bad characters,None,bald,male characters,living characters,1.0,feb-43,1943.0
1938,betsy schneider (earth-616),no dual identity,None,blue eyes,blond hair,female characters,living characters,3.0,jan-99,1999.0
1939,silverfox (canadian) (earth-616),secret identity,None,blue eyes,black hair,female characters,deceased characters,39.0,aug-89,1989.0
1940,luz santos (earth-616),public identity,good characters,brown eyes,brown hair,female characters,living characters,5.0,feb-96,1996.0
1941,memento mori (earth-616),secret identity,bad characters,brown eyes,bald,male characters,deceased characters,3.0,None,None
